date,nav,scheme_code,daily_return
2023-12-22,116.1862,119551,0.00016872319582383888
2023-12-26,116.29,119551,0.0008933935355490696
2023-12-27,116.2785,119551,-9.889070427393509e-05
2023-12-28,116.2869,119551,7.224035397790374e-05
2023-12-29,108.2404,119551,-0.06919524039251201
2024-01-01,108.2962,119551,0.0005155191592050024
2024-01-02,108.302,119551,5.3556819168187886e-05
2024-01-03,108.3033,119551,1.2003471773214258e-05
2024-01-04,108.3068,119551,3.231665147795937e-05
2024-01-05,108.2934,119551,-0.00012372261021464936
2024-01-08,108.4013,119551,0.0009963672763066977
2024-01-09,108.4351,119551,0.0003118043787297964
2024-01-10,108.4687,119551,0.00030986276583866434
2024-01-11,108.4768,119551,7.467592033472137e-05
2024-01-12,108.5277,119551,0.00046922475589239454
2024-01-15,108.6546,119551,0.0011692867350916458
2024-01-16,108.6565,119551,1.7486604340755108e-05
2024-01-17,108.6641,119551,6.994519425918e-05
2024-01-18,108.6691,119551,4.601335675724627e-05
2024-01-19,108.6634,119551,-5.245281317323158e-05
2024-01-23,108.756,119551,0.0008521728567301157
2024-01-24,108.7584,119551,2.2067747986298514e-05
2024-01-25,108.7795,119551,0.00019400800306001997
2024-01-29,108.8663,119551,0.0007979444656391887
2024-01-30,108.9094,119551,0.00039589845526122325
2024-01-31,108.9501,119551,0.00037370511636281023
2024-02-01,109.1334,119551,0.0016824215856616753
2024-02-02,109.2484,119551,0.0010537562286156987
2024-02-05,109.2279,119551,-0.00018764576872520866
2024-02-06,109.2489,119551,0.0001922585712990088
2024-02-07,109.2938,119551,0.00041098811978890204
2024-02-08,109.2929,119551,-8.23468485866563e-06
2024-02-09,109.2569,119551,-0.00032939010676813485
2024-02-12,109.3183,119551,0.0005619782366146353
2024-02-13,109.3221,119551,3.4760877181794214e-05
2024-02-14,109.2938,119551,-0.000258868060529438
2024-02-15,109.3771,119551,0.0007621658319134639
2024-02-16,109.393,119551,0.00014536863749370355
2024-02-20,109.5383,119551,0.0013282385527411122
2024-02-21,109.5846,119551,0.00042268320760863176
2024-02-22,109.6091,119551,0.0002235715602374455
2024-02-23,109.6186,119551,8.66716358405295e-05
2024-02-26,109.7161,119551,0.0008894475937477608
2024-02-27,109.7147,119551,-1.2760205658102208e-05
2024-02-28,109.7569,119551,0.00038463396427279584
2024-02-29,109.7711,119551,0.0001293768318895161
2024-03-01,109.7834,119551,0.00011205135049197068
2024-03-04,109.8436,119551,0.0005483524831622066
2024-03-05,109.8552,119551,0.0001056046961316337
2024-03-06,109.9177,119551,0.0005689307379168618
2024-03-07,109.9624,119551,0.00040666789789089997
2024-03-11,110.12,119551,0.001433217172415402
2024-03-12,110.1246,119551,4.177261169635571e-05
2024-03-13,110.1303,119551,5.175955236169649e-05
2024-03-14,110.1196,119551,-9.715763963236146e-05
2024-03-15,110.1319,119551,0.000111696737002287
2024-03-18,110.144,119551,0.00010986825797076882
2024-03-19,110.114,119551,-0.0002723707147007648
2024-03-20,110.1485,119551,0.0003133116588263096
2024-03-21,110.2046,119551,0.0005093124282218309
2024-03-22,110.1729,119551,-0.0002876467951428152
2024-03-26,110.1903,119551,0.00015793357531657115
2024-03-27,102.5361,119551,-0.06946346456993024
2024-03-28,102.7096,119551,0.0016920869820482576
2024-03-31,102.7632,119551,0.0005218596898439731
2024-04-02,102.7608,119551,-2.3354663926333785e-05
2024-04-03,102.7932,119551,0.00031529532662255555
2024-04-04,102.831,119551,0.00036772860461598
2024-04-05,102.8278,119551,-3.111902052888027e-05
2024-04-08,102.7894,119551,-0.0003734398674287709
2024-04-10,102.8998,119551,0.0010740407084777193
2024-04-12,102.7853,119551,-0.0011127329693545462
2024-04-15,102.8695,119551,0.0008191832878825522
2024-04-16,102.834,119551,-0.00034509742926713827
2024-04-18,102.878,119551,0.00042787404943878116
2024-04-19,102.785,119551,-0.0009039833589300494
2024-04-22,102.8818,119551,0.0009417716592887704
2024-04-23,102.9532,119551,0.0006940002993727212
2024-04-24,102.9549,119551,1.6512357071007955e-05
2024-04-25,102.9493,119551,-5.439274866958499e-05
2024-04-26,102.9593,119551,9.713519178866648e-05
2024-04-29,103.0161,119551,0.0005516743023699089
2024-04-30,103.0514,119551,0.00034266488442113996
2024-05-02,103.1097,119551,0.00056573709818597
2024-05-03,103.16,119551,0.00048782995198304313
2024-05-06,103.3135,119551,0.0014879798371463249
2024-05-07,103.3251,119551,0.00011227961495841043
2024-05-08,103.3191,119551,-5.80691429284963e-05
2024-05-09,103.3271,119551,7.74300201995537e-05
2024-05-10,103.3607,119551,0.0003251809060740296
2024-05-13,103.4188,119551,0.000562109196242
2024-05-14,103.4525,119551,0.00032585951490449183
2024-05-15,103.5312,119551,0.0007607356032961476
2024-05-16,103.618,119551,0.0008383946095475991
2024-05-17,103.6086,119551,-9.071782894864988e-05
2024-05-21,103.7247,119551,0.0011205633509188129
